prediction;test_price
28.39;28.78
28.77;28.81
28.96;28.14
28.89;28.2
28.49;28.74
28.52;29.0
28.5;28.63
28.89;28.29
28.95;28.28
28.63;28.16
28.57;27.78
28.65;27.72
28.22;27.16
28.11;27.18
27.69;26.64
27.61;26.31
27.15;26.76
26.66;26.45
26.91;26.48
26.86;26.04
26.85;26.02
26.54;25.1
26.46;24.87
25.75;24.53
25.36;24.88
24.94;25.5
25.13;25.02
25.46;25.62
25.23;25.12
25.59;25.66
25.41;26.03
25.6;26.75
26.11;26.96
26.61;26.23
26.84;27.48
26.49;27.67
27.13;28.02
27.32;27.85
27.72;27.94
27.89;28.6
27.85;28.19
28.27;28.34
28.32;28.08
28.24;28.42
28.08;28.15
28.45;28.41
28.3;28.69
28.24;28.69
28.47;28.88
28.61;28.39
28.93;28.27
28.6;28.27
28.55;27.8
28.68;27.6
28.39;27.26
28.06;26.83
27.66;26.57
27.31;27.21
26.94;27.4
27.1;27.33
27.44;26.85
27.49;26.57
27.05;27.67
26.76;27.25
27.43;27.83
27.34;27.95
27.76;27.99
27.88;27.71
27.88;27.37
27.72;27.04
27.48;27.37
27.07;27.84
27.12;27.53
27.56;27.51
27.57;27.25
27.48;27.5
27.46;27.1
27.52;26.91
27.3;27.35
27.28;26.33
27.46;26.21
26.93;26.11
26.74;26.45
26.59;26.85
26.71;27.33
27.11;27.44
27.6;27.3
28.0;27.6
27.81;27.86
28.02;28.23
28.16;28.29
28.32;28.58
28.44;28.29
28.66;29.05
28.53;29.22
29.02;29.04
29.27;29.42
29.19;30.27
29.4;30.15
30.12;29.92
30.14;30.33
29.97;29.95
30.06;30.36
29.94;30.52
30.08;30.45
30.21;30.29
30.3;29.74
30.31;29.36
29.76;29.32
29.48;28.99
29.3;29.35
29.17;29.54
29.36;29.49
29.5;29.31
29.61;29.05
29.49;28.95
29.37;29.97
29.16;30.09
29.89;28.8
30.23;28.95
29.43;29.51
29.32;29.02
29.67;29.0
29.53;29.6
29.4;29.36
29.92;28.88
29.76;28.74
29.44;28.69
29.21;27.86
29.04;28.26
28.47;28.11
28.49;28.34
28.54;27.51
28.62;27.54
28.21;27.22
27.98;27.09
27.6;26.79
27.48;26.96
27.2;26.24
27.24;26.13
26.7;25.77
26.32;25.82
26.05;25.47
25.84;25.39
25.64;25.67
25.67;26.55
25.85;27.22
26.4;26.96
27.05;26.6
27.09;26.53
26.75;27.17
26.51;27.06
26.97;27.13
27.04;26.61
27.06;26.97
26.85;27.63
26.93;26.48
27.29;26.24
26.9;26.49
26.6;27.31
26.64;27.41
27.26;26.97
27.63;27.94
27.11;28.61
27.76;28.06
28.43;27.69
28.15;28.2
27.92;28.35
28.15;27.99
28.43;27.7
28.05;27.76
27.91;27.77
27.91;28.09
27.74;27.57
28.08;27.66
27.72;27.71
27.67;28.43
27.76;28.22
28.22;28.3
28.27;28.36
28.38;27.51
28.35;27.36
27.82;28.72
27.46;28.29
28.37;28.59
28.44;28.74
28.74;29.01
28.9;28.23
29.04;28.36
28.47;28.08
28.38;29.17
28.27;30.0
28.97;28.71
29.78;28.38
29.1;27.72
28.59;28.33
28.1;28.57
28.47;25.94
28.8;26.77
27.2;26.76
27.1;26.14
27.09;25.77
26.51;24.65
26.18;23.18
25.27;22.4
24.11;20.76
23.16;20.1
21.9;23.31
20.84;22.4
22.78;20.39
23.01;21.17
21.72;21.59
21.57;23.16
21.85;22.08
23.07;20.11
22.78;20.41
21.28;19.72
20.87;18.64
20.3;20.86
19.46;20.91
20.33;22.1
21.0;22.6
21.86;21.84
22.44;22.7
22.1;21.14
22.42;19.9
21.84;20.38
20.71;19.26
20.45;19.0
19.91;17.59
19.66;18.89
18.34;18.39
19.04;17.22
18.95;18.03
18.24;17.4
18.65;16.34
18.12;18.42
17.54;19.37
18.71;19.22
19.33;19.63
19.6;19.65
20.06;17.74
19.94;18.72
19.01;19.14
19.28;19.01
19.38;19.86
19.7;21.74
20.1;20.53
21.47;20.68
21.22;20.21
20.75;20.02
20.42;20.16
20.13;21.06
20.11;20.88
20.85;20.21
20.85;19.86
20.33;19.42
20.18;19.35
20.0;19.47
19.93;19.64
20.04;19.01
19.76;19.9
19.59;20.09
19.78;21.18
20.0;20.81
20.99;21.53
20.91;20.52
21.38;20.28
21.1;19.75
20.74;19.36
20.36;18.77
19.99;18.42
19.61;18.91
18.99;19.0
19.21;17.92
19.71;18.8
18.92;18.57
19.16;18.25
19.3;18.47
18.94;18.82
18.77;19.73
19.01;18.82
19.95;18.31
19.64;17.89
18.96;18.26
18.67;16.82
18.41;16.57
17.77;17.22
17.52;17.21
17.55;16.61
17.56;16.38
17.29;16.67
17.0;16.4
16.91;15.8
17.01;15.61
16.64;15.66
16.13;15.52
16.1;15.03
15.92;15.87
15.68;15.37
15.98;14.93
16.08;14.85
15.74;14.21
15.52;14.49
15.28;15.0
15.25;14.16
15.48;14.02
15.25;13.8
14.83;14.71
14.33;14.69
15.2;15.43
15.25;15.17
15.67;15.24
15.6;15.78
15.74;16.04
16.03;15.67
16.28;15.45
16.2;16.75
15.8;16.19
16.58;16.41
16.72;16.88
16.51;16.46
16.84;15.81
16.71;16.08
16.29;16.64
16.09;17.89
16.62;17.71
17.61;17.37
17.93;16.93
17.79;17.14
16.87;17.6
16.86;17.29
17.54;16.84
17.54;17.47
17.14;18.16
17.62;18.05
18.31;17.19
18.28;17.24
17.45;17.18
17.33;17.38
17.54;17.94
17.42;17.48
17.88;17.28
17.84;18.6
17.84;19.39
18.91;19.43
19.33;20.24
19.57;20.5
20.39;22.91
20.74;22.43
22.12;22.54
22.44;21.88
22.63;21.53
22.13;20.9
21.44;20.79
20.86;20.73
20.85;21.44
20.84;21.09
21.02;20.85
21.25;20.57
21.28;20.99
21.02;21.73
21.15;21.14
21.62;21.24
21.61;21.45
21.36;22.16
21.5;22.25
21.96;22.21
22.44;22.26
22.56;22.09
22.61;22.43
22.61;22.43
22.81;22.22
23.07;22.34
22.6;22.19
22.55;21.47
22.67;20.8
21.9;20.97
21.51;21.0
21.36;20.83
21.25;20.06
21.19;20.26
20.79;20.28
20.47;20.85
20.44;20.75
20.96;20.95
20.76;20.66
20.94;20.76
21.02;20.22
21.02;20.44
20.86;19.95
20.61;19.69
20.47;19.95
20.14;19.84
20.29;20.1
20.02;20.46
20.14;21.32
20.62;21.95
21.41;21.7
21.82;22.46
22.16;22.31
22.65;22.47
22.54;23.73
22.4;23.54
23.29;23.42
23.6;23.35
23.73;22.92
23.67;23.22
23.41;22.24
23.18;22.6
22.91;22.7
22.88;22.38
23.0;22.46
23.04;23.63
22.65;23.41
23.34;22.93
23.46;23.22
23.6;23.25
23.49;22.9
23.34;22.22
23.45;22.31
22.89;22.56
22.34;22.92
22.68;23.72
23.01;23.73
23.74;23.79
23.72;23.91
23.6;23.92
24.08;23.77
24.09;23.06
23.9;22.74
23.46;22.49
23.0;22.53
22.89;22.93
22.7;23.27
22.86;23.86
23.45;25.11
23.91;25.16
24.87;24.86
24.97;25.05
25.03;25.12
25.11;25.2
25.23;25.18
25.13;24.79
25.19;25.13
24.85;24.86
25.22;24.77
25.26;24.46
25.04;25.0
24.79;24.74
25.29;24.31
25.08;24.23
24.79;24.09
24.55;24.5
24.34;24.95
24.56;24.94
24.69;25.39
24.83;25.36
25.42;25.36
25.47;25.16
25.48;25.6
25.62;25.88
25.96;26.03
26.07;26.45
26.17;25.99
26.5;25.88
26.0;26.07
25.83;25.58
25.81;25.37
25.54;24.94
25.46;24.12
25.35;24.92
24.68;24.23
25.1;24.27
24.62;24.46
24.61;24.82
24.51;25.68
24.87;25.29
25.64;25.68
25.63;25.78
25.76;25.93
26.16;25.72
26.09;26.95
26.19;27.18
26.88;27.33
27.76;27.16
27.92;26.75
27.66;26.57
27.38;26.99
27.1;26.77
27.21;27.1
27.1;26.87
27.31;26.76
27.35;27.21
27.32;27.26
27.52;26.86
27.81;27.31
27.55;27.45
27.83;27.17
27.95;27.18
27.9;28.03
27.84;28.39
28.47;28.51
28.71;28.82
28.92;29.05
29.27;28.6
29.47;28.62
29.26;29.02
29.19;28.94
29.28;29.05
29.48;28.92
29.29;28.58
29.33;29.0
29.01;28.91
29.27;28.88
29.33;28.72
29.43;28.65
29.18;28.5
29.31;28.51
29.09;28.55
28.96;28.09
28.74;27.6
28.47;28.03
28.13;27.78
28.24;27.41
28.16;27.77
27.84;27.94
28.03;27.42
28.17;26.85
28.03;26.8
27.7;26.57
27.49;26.26
27.05;26.29
26.82;26.47
26.69;26.44
26.95;26.85
26.89;27.54
27.15;26.57
27.76;26.46
27.04;26.4
26.79;26.73
26.62;26.9
26.65;27.01
26.85;26.93
26.82;27.29
26.76;27.64
27.01;27.78
27.43;27.97
27.79;27.87
27.77;27.69
27.88;28.11
27.78;28.09
27.99;27.98
28.03;28.25
28.08;28.55
28.3;28.34
28.37;29.17
28.09;29.75
28.76;29.73
29.34;29.83
29.44;29.85
29.47;30.28
29.41;30.17
29.69;30.2
29.95;30.23
30.2;30.23
30.04;30.26
29.92;30.13
29.99;30.41
30.0;30.46
30.14;30.8
30.41;31.43
30.75;31.63
31.16;31.49
31.58;31.44
31.53;31.27
31.28;31.84
31.25;31.54
31.48;31.77
31.16;31.63
31.16;31.95
31.37;32.44
31.69;32.15
32.29;32.1
32.33;32.42
32.18;32.6
32.4;32.09
32.63;32.4
32.31;32.73
32.38;32.75
32.64;32.94
32.75;32.95
32.93;33.18
33.21;32.53
33.55;32.5
33.21;33.34
33.09;33.0
33.37;33.64
33.19;32.77
33.64;31.65
33.17;30.46
32.05;29.92
31.02;31.61
30.43;32.03
31.43;31.46
32.22;31.12
32.2;30.51
31.87;30.63
31.3;30.21
31.13;29.91
30.85;28.65
30.38;29.44
29.62;29.09
29.7;28.95
29.41;29.62
29.32;30.78
29.75;29.93
30.77;29.85
30.37;31.12
29.97;31.09
30.63;30.17
30.99;29.59
30.43;29.69
30.03;29.5
29.82;30.55
29.68;30.67
30.32;30.39
30.53;31.34
30.46;31.16
31.0;31.41
31.12;31.48
31.27;31.4
31.32;30.77
31.44;30.76
31.13;30.09
30.79;29.99
30.46;29.75
30.24;28.93
29.94;28.21
29.36;28.2
28.7;28.11
28.47;28.41
28.59;29.68
28.87;29.86
29.79;30.23
30.03;30.25
30.38;30.86
30.31;30.67
30.67;30.5
30.77;29.58
30.67;29.83
29.91;29.91
29.81;29.39
30.12;30.09
29.81;30.57
29.9;30.81
30.25;30.7
30.29;30.49
30.25;30.19
29.87;30.17
29.87;30.88
29.84;30.64
30.24;31.2
30.56;31.33
31.06;31.35
31.34;31.49
31.43;31.61
31.55;30.65
31.39;30.44
30.8;30.17
30.57;30.15
30.4;30.24
30.08;30.37
30.25;29.73
30.47;29.6
29.93;29.49
29.75;28.79
29.68;28.76
29.16;28.61
29.03;29.36
28.77;28.97
29.23;29.14
29.17;30.01
29.35;30.37
29.99;31.05
30.29;30.31
30.72;30.31
30.37;30.52
30.16;30.59
30.28;30.69
30.2;30.5
30.39;30.64
30.31;30.6
30.47;30.95
30.61;31.26
30.79;30.9
30.73;30.44
30.39;29.66
30.14;30.08
29.48;29.82
